time,vehicles
8412,0
8418,0
8424,0
8430,0
8436,0
8442,0
8448,0
8454,0
8460,0
8466,0
8472,0
8478,0
8484,0
8500,0
8506,0
8512,0
8518,0
8524,0
8530,0
8536,0
8542,1
8548,1
8554,0
8560,1
8566,0
8572,1
8578,0
8584,0
8600,0
8606,0
8612,0
8618,0
8624,0
8630,0
8636,1
8642,0
8648,0
8654,0
8660,0
8666,0
8672,0
8678,0
8684,0
8700,0
8706,0
8712,1
8718,0
8724,0
8730,0
8736,0
8742,0
8748,0
8754,0
8760,0
8766,0
8772,0
8778,0
8784,0
8800,0
8806,0
8812,0
8818,0
8824,0
8830,0
8836,0
8842,0
8848,0
8854,0
8860,0
8866,0
8872,0
8878,0
8884,0
8900,0
8906,0
8912,0
8918,0
8924,0
8930,0
8936,0
8942,0
8948,0
8954,0
8960,0
8966,0
8972,0
8978,0
8984,0
9000,0
9006,0
9012,0
9018,0
9024,0
9030,0
9036,0
9042,0
9048,0
9054,0
9060,0
9066,0
9072,0
9078,0
9084,0
9100,0
9106,0
9112,0
9118,0
9124,0
9130,0
9136,0
9142,0
9148,0
9154,0
9160,0
9166,1
9172,0
9178,1
9184,0
9200,0
9206,0
9212,0
9218,0
9224,1
9230,0
9236,0
9242,2
9248,0
9254,0
9260,0
9266,0
9272,0
9278,0
9284,0
9300,0
9306,0
9312,0
9318,0
9324,0
9330,0
9336,0
9342,0
9348,1
9354,0
9360,0
9366,0
9372,0
9378,0
9384,0
9400,0
9406,0
9412,0
9418,0
9424,0
9430,0
9436,1
9442,0
9448,0
9454,1
9460,0
9466,0
9472,0
9478,0
9484,0
9500,0
9506,0
9512,0
9518,0
9524,0
9530,1
9536,0
9542,0
9548,0
9554,0
9560,0
9566,0
9572,1
9578,1
9584,0
9600,0
9606,0
9612,0
9618,0
9624,0
9630,0
9636,0
9642,0
9648,0
9654,0
9660,0
9666,0
9672,0
9678,0
9684,0
9700,0
9706,0
9712,1
9718,0
9724,0
9730,0
9736,0
9742,0
9748,0
9754,0
9760,0
9766,0
9772,0
9778,0
9784,0
9800,0
9806,0
9812,0
9818,0
9824,0
9830,0
9836,0
9842,0
9848,0
9854,0
9860,0
9866,0
9872,2
9878,0
9884,0
9900,0
9906,0
9912,0
9918,0
9924,0
9930,0
9936,0
9942,0
9948,0
9954,0
9960,0
9966,0
9972,0
9978,1
9984,0
10000,0
10006,0
10012,0
10018,0
10024,0
